"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 14:02:20 GMT 2023","Tue Apr 18 14:02:23 GMT 2023","2529","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:02:14 GMT 2023","Tue Apr 18 14:02:17 GMT 2023","2597","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:02:17 GMT 2023","Tue Apr 18 14:02:20 GMT 2023","2487","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:02:13 GMT 2023","Tue Apr 18 14:02:14 GMT 2023","684","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:02:17 GMT 2023","Tue Apr 18 14:02:17 GMT 2023","643","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:02:23 GMT 2023","Tue Apr 18 14:02:24 GMT 2023","1028","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:02:06 GMT 2023","Tue Apr 18 14:02:07 GMT 2023","1518","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 14:02:28 GMT 2023","Tue Apr 18 14:02:29 GMT 2023","1026","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:02:37 GMT 2023","Tue Apr 18 14:02:39 GMT 2023","2928","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:02:01 GMT 2023","Tue Apr 18 14:02:04 GMT 2023","3212","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 14:02:29 GMT 2023","Tue Apr 18 14:02:31 GMT 2023","1567","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
