"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 15:08:13 GMT 2023","Sun Apr 16 15:08:16 GMT 2023","3321","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [4] testData=(FilterCriteria(price=[561..82], beds=null, bedrooms=null, bathrooms=null, amenities=null),[77..82])",""
"passed","Sun Apr 16 15:07:13 GMT 2023","Sun Apr 16 15:07:17 GMT 2023","3775","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [5] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=null, bathrooms=-10, amenities=null),-10)",""
"passed","Sun Apr 16 15:08:41 GMT 2023","Sun Apr 16 15:08:43 GMT 2023","2712","","org.eugens21.hostaway.technical_assignment.test.filter.HomePageSearchTest","","org.eugens21.hostaway.technical_assignment.test.filter.HomePageSearchTest","verifySearchOnHomePage","verifySearchOnHomePage()","As a user I need to be able to search properties by provided criteria"
"passed","Sun Apr 16 15:06:59 GMT 2023","Sun Apr 16 15:07:03 GMT 2023","4292","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [2] testData=(FilterCriteria(price=[10..1000], beds=20, bedrooms=null, bathrooms=null, amenities=null),20)",""
"passed","Sun Apr 16 15:08:20 GMT 2023","Sun Apr 16 15:08:23 GMT 2023","2843","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceNullValues","verifyPriceNullValues()",""
"passed","Sun Apr 16 15:08:02 GMT 2023","Sun Apr 16 15:08:05 GMT 2023","3136","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [1] testData=(FilterCriteria(price=[1231..2!3*13], beds=null, bedrooms=null, bathrooms=null, amenities=null),[1231..2313])",""
"passed","Sun Apr 16 15:07:18 GMT 2023","Sun Apr 16 15:07:22 GMT 2023","4097","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [6] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=null, bathrooms=20, amenities=null),20)",""
"passed","Sun Apr 16 15:07:40 GMT 2023","Sun Apr 16 15:07:44 GMT 2023","3656","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [5] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=3, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 15:07:57 GMT 2023","Sun Apr 16 15:08:01 GMT 2023","4175","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [9] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=null, bathrooms=10, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 15:07:27 GMT 2023","Sun Apr 16 15:07:31 GMT 2023","3919","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [2] testData=(FilterCriteria(price=[10..1000], beds=2, bedrooms=null, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 15:07:44 GMT 2023","Sun Apr 16 15:07:49 GMT 2023","4760","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [6] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=10, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 15:07:32 GMT 2023","Sun Apr 16 15:07:36 GMT 2023","4313","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [3] testData=(FilterCriteria(price=[10..1000], beds=10, bedrooms=null, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 15:07:49 GMT 2023","Sun Apr 16 15:07:52 GMT 2023","2967","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [7] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=null, bathrooms=0, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 15:07:36 GMT 2023","Sun Apr 16 15:07:40 GMT 2023","3162","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [4] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=0, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 15:06:52 GMT 2023","Sun Apr 16 15:06:58 GMT 2023","5937","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [1] testData=(FilterCriteria(price=[10..1000], beds=-14, bedrooms=null, bathrooms=null, amenities=null),-14)",""
"passed","Sun Apr 16 15:08:06 GMT 2023","Sun Apr 16 15:08:09 GMT 2023","3134","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [2] testData=(FilterCriteria(price=[-7..-8], beds=null, bedrooms=null, bathrooms=null, amenities=null),[7..8])",""
"passed","Sun Apr 16 15:07:07 GMT 2023","Sun Apr 16 15:07:13 GMT 2023","5090","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [4] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=45, bathrooms=null, amenities=null),45)",""
