"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 15:56:13 GMT 2023","Tue Apr 18 15:56:16 GMT 2023","3234","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 15:56:18 GMT 2023","Tue Apr 18 15:56:20 GMT 2023","1660","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 15:56:22 GMT 2023","Tue Apr 18 15:56:23 GMT 2023","1235","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 15:56:56 GMT 2023","Tue Apr 18 15:58:08 GMT 2023","72160","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.AllListingsPageTest","org.eugens21.hostaway.technical_assignment.test.filter.AllListingsPageTest","verifyListingsOnAllListingsPage","verifyListingsOnAllListingsPage","As a user, I want to be able to view all properties available on the listings page. This will allow me to easily browse and find the property that best suits my needs."
"passed","Tue Apr 18 15:56:20 GMT 2023","Tue Apr 18 15:56:21 GMT 2023","1279","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 15:56:43 GMT 2023","Tue Apr 18 15:56:44 GMT 2023","1133","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 15:56:37 GMT 2023","Tue Apr 18 15:56:38 GMT 2023","1188","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 15:56:46 GMT 2023","Tue Apr 18 15:56:49 GMT 2023","2973","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 15:56:23 GMT 2023","Tue Apr 18 15:56:24 GMT 2023","1084","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 15:56:34 GMT 2023","Tue Apr 18 15:56:37 GMT 2023","2735","Hostaway Suite","Hostaway Suite Tests","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
