"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 14:40:52 GMT 2023","Tue Apr 18 14:40:53 GMT 2023","1482","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 14:41:04 GMT 2023","Tue Apr 18 14:41:04 GMT 2023","612","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:41:17 GMT 2023","Tue Apr 18 14:41:20 GMT 2023","2646","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:40:56 GMT 2023","Tue Apr 18 14:40:57 GMT 2023","598","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceNullValues","verifyPriceNullValues","The system should not allow a user to enter 0 as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 14:41:01 GMT 2023","Tue Apr 18 14:41:01 GMT 2023","651","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:41:07 GMT 2023","Tue Apr 18 14:41:07 GMT 2023","661","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:40:53 GMT 2023","Tue Apr 18 14:40:55 GMT 2023","1428","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 14:41:01 GMT 2023","Tue Apr 18 14:41:04 GMT 2023","2401","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:41:12 GMT 2023","Tue Apr 18 14:41:15 GMT 2023","2623","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:41:20 GMT 2023","Tue Apr 18 14:41:21 GMT 2023","944","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:41:21 GMT 2023","Tue Apr 18 14:41:22 GMT 2023","1737","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:41:00 GMT 2023","Tue Apr 18 14:41:01 GMT 2023","956","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 14:41:04 GMT 2023","Tue Apr 18 14:41:07 GMT 2023","2359","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 14:40:55 GMT 2023","Tue Apr 18 14:40:56 GMT 2023","1042","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 14:40:59 GMT 2023","Tue Apr 18 14:41:00 GMT 2023","984","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 14:41:22 GMT 2023","Tue Apr 18 14:41:25 GMT 2023","2634","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:41:26 GMT 2023","Tue Apr 18 14:42:29 GMT 2023","63119","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.AllListingsPageTest","org.eugens21.hostaway.technical_assignment.test.filter.AllListingsPageTest","verifyListingsOnAllListingsPage","verifyListingsOnAllListingsPage","As a user, I want to be able to view all properties available on the listings page. This will allow me to easily browse and find the property that best suits my needs."
"passed","Tue Apr 18 14:41:11 GMT 2023","Tue Apr 18 14:41:12 GMT 2023","1377","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 14:41:07 GMT 2023","Tue Apr 18 14:41:10 GMT 2023","2325","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
