"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","21","0","0"
"Home Page Verification Epic","Home Page Search Properties Feature","User tries to search a property from home page","0","0","1","0","0"
