"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 14:11:09 GMT 2023","Sun Apr 16 14:11:15 GMT 2023","5759","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [9] testData=(FilterCriteria(price=[500..1000], beds=null, bedrooms=null, bathrooms=10, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 14:10:47 GMT 2023","Sun Apr 16 14:10:52 GMT 2023","4227","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [5] testData=(FilterCriteria(price=[500..1000], beds=null, bedrooms=3, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 14:11:20 GMT 2023","Sun Apr 16 14:11:24 GMT 2023","4161","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [2] testData=(FilterCriteria(price=[-7..-8], beds=null, bedrooms=null, bathrooms=null, amenities=null),[7..8])",""
"passed","Sun Apr 16 14:09:58 GMT 2023","Sun Apr 16 14:10:04 GMT 2023","5731","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [2] testData=(FilterCriteria(price=[500..1000], beds=20, bedrooms=null, bathrooms=null, amenities=null),20)",""
"passed","Sun Apr 16 14:10:29 GMT 2023","Sun Apr 16 14:10:34 GMT 2023","4916","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [2] testData=(FilterCriteria(price=[500..1000], beds=2, bedrooms=null, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 14:10:19 GMT 2023","Sun Apr 16 14:10:24 GMT 2023","5150","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [6] testData=(FilterCriteria(price=[500..1000], beds=null, bedrooms=null, bathrooms=20, amenities=null),20)",""
"passed","Sun Apr 16 14:10:09 GMT 2023","Sun Apr 16 14:10:14 GMT 2023","5393","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [4] testData=(FilterCriteria(price=[500..1000], beds=null, bedrooms=45, bathrooms=null, amenities=null),45)",""
"passed","Sun Apr 16 14:10:59 GMT 2023","Sun Apr 16 14:11:03 GMT 2023","3879","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [7] testData=(FilterCriteria(price=[500..1000], beds=null, bedrooms=null, bathrooms=0, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 14:11:42 GMT 2023","Sun Apr 16 14:11:45 GMT 2023","2581","","org.eugens21.hostaway.technical_assignment.test.filter.HomePageSearchTest","","org.eugens21.hostaway.technical_assignment.test.filter.HomePageSearchTest","verifySearchOnHomePage","verifySearchOnHomePage()","As a user I need to be able to search properties by provided criteria"
"passed","Sun Apr 16 14:10:15 GMT 2023","Sun Apr 16 14:10:18 GMT 2023","3165","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [5] testData=(FilterCriteria(price=[500..1000], beds=null, bedrooms=null, bathrooms=-10, amenities=null),-10)",""
"passed","Sun Apr 16 14:11:25 GMT 2023","Sun Apr 16 14:11:28 GMT 2023","3593","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [3] testData=(FilterCriteria(price=[1-7.0a5b3..b1a9s7d-8%.1], beds=null, bedrooms=null, bathrooms=null, amenities=null),[17053..19781])",""
