"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 17:17:45 GMT 2023","Sun Apr 16 17:17:50 GMT 2023","5232","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [9] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=null, bathrooms=10, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 17:16:48 GMT 2023","Sun Apr 16 17:16:52 GMT 2023","4598","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [3] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=-1, bathrooms=null, amenities=null),-1)",""
"passed","Sun Apr 16 17:16:30 GMT 2023","Sun Apr 16 17:16:40 GMT 2023","10033","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [1] testData=(FilterCriteria(price=[10..1000], beds=-14, bedrooms=null, bathrooms=null, amenities=null),-14)",""
"passed","Sun Apr 16 17:18:07 GMT 2023","Sun Apr 16 17:18:10 GMT 2023","3325","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [5] testData=(FilterCriteria(price=[-10000000000000000000000..6], beds=null, bedrooms=null, bathrooms=null, amenities=null),[1..6])",""
"passed","Sun Apr 16 17:17:55 GMT 2023","Sun Apr 16 17:17:58 GMT 2023","3162","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [2] testData=(FilterCriteria(price=[-7..-8], beds=null, bedrooms=null, bathrooms=null, amenities=null),[7..8])",""
"passed","Sun Apr 16 17:17:08 GMT 2023","Sun Apr 16 17:17:12 GMT 2023","4196","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [1] testData=(FilterCriteria(price=[10..1000], beds=0, bedrooms=null, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 17:17:51 GMT 2023","Sun Apr 16 17:17:54 GMT 2023","3464","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [1] testData=(FilterCriteria(price=[1231..2!3*13], beds=null, bedrooms=null, bathrooms=null, amenities=null),[1231..2313])",""
"passed","Sun Apr 16 17:17:58 GMT 2023","Sun Apr 16 17:18:02 GMT 2023","3210","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues(Pair) [3] testData=(FilterCriteria(price=[1-7.0a5b3..b1a9s7d-8%.1], beds=null, bedrooms=null, bathrooms=null, amenities=null),[17053..19781])",""
"passed","Sun Apr 16 17:16:30 GMT 2023","Sun Apr 16 17:16:53 GMT 2023","23231","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageGridTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageGridTest","verifyGridItemsFiltering","verifyGridItemsFiltering(FilterCriteria) [1] criteria=FilterCriteria(price=[10..1000], beds=null, bedrooms=2, bathrooms=1, amenities=null)",""
"passed","Sun Apr 16 17:17:00 GMT 2023","Sun Apr 16 17:17:02 GMT 2023","2843","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [5] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=null, bathrooms=-10, amenities=null),-10)",""
"passed","Sun Apr 16 17:16:41 GMT 2023","Sun Apr 16 17:16:47 GMT 2023","5367","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [2] testData=(FilterCriteria(price=[10..1000], beds=20, bedrooms=null, bathrooms=null, amenities=null),20)",""
"passed","Sun Apr 16 17:17:13 GMT 2023","Sun Apr 16 17:17:16 GMT 2023","3680","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [2] testData=(FilterCriteria(price=[10..1000], beds=2, bedrooms=null, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 17:17:22 GMT 2023","Sun Apr 16 17:17:26 GMT 2023","3392","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [4] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=0, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 17:16:53 GMT 2023","Sun Apr 16 17:16:59 GMT 2023","5705","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario(Pair) [4] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=45, bathrooms=null, amenities=null),45)",""
"passed","Sun Apr 16 17:17:26 GMT 2023","Sun Apr 16 17:17:30 GMT 2023","4111","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [5] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=3, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 17:17:40 GMT 2023","Sun Apr 16 17:17:45 GMT 2023","4625","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [8] testData=(FilterCriteria(price=[10..1000], beds=null, bedrooms=null, bathrooms=5, amenities=null),FilterCriteriaActualContent(price=null))",""
"passed","Sun Apr 16 17:18:11 GMT 2023","Sun Apr 16 17:18:14 GMT 2023","3543","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceNullValues","verifyPriceNullValues()",""
"passed","Sun Apr 16 17:18:15 GMT 2023","Sun Apr 16 17:18:18 GMT 2023","3388","","org.eugens21.hostaway.technical_assignment.test.filter.HomePageSearchTest","","org.eugens21.hostaway.technical_assignment.test.filter.HomePageSearchTest","verifySearchOnHomePage","verifySearchOnHomePage()","As a user I need to be able to search properties by provided criteria"
"passed","Sun Apr 16 17:17:17 GMT 2023","Sun Apr 16 17:17:22 GMT 2023","4838","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario(Pair) [3] testData=(FilterCriteria(price=[10..1000], beds=10, bedrooms=null, bathrooms=null, amenities=null),FilterCriteriaActualContent(price=null))",""
