"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 15:51:13 GMT 2023","Tue Apr 18 15:51:15 GMT 2023","2135","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 15:50:37 GMT 2023","Tue Apr 18 15:50:39 GMT 2023","1989","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 15:50:41 GMT 2023","Tue Apr 18 15:50:42 GMT 2023","1226","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyAmenitiesCheckboxes","verifyAmenitiesCheckboxes","As a user, I want to be able to use the toolbar checkbox filter on the search page to quickly narrow down my search results. This will allow me to find the properties with amenities I'm looking for."
"passed","Tue Apr 18 15:50:53 GMT 2023","Tue Apr 18 15:50:56 GMT 2023","2870","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 15:50:59 GMT 2023","Tue Apr 18 15:51:00 GMT 2023","1195","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 15:51:19 GMT 2023","Tue Apr 18 15:52:32 GMT 2023","72812","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.AllListingsPageTest","org.eugens21.hostaway.technical_assignment.test.filter.AllListingsPageTest","verifyListingsOnAllListingsPage","verifyListingsOnAllListingsPage","As a user, I want to be able to view all properties available on the listings page. This will allow me to easily browse and find the property that best suits my needs."
"passed","Tue Apr 18 15:52:33 GMT 2023","Tue Apr 18 15:52:36 GMT 2023","3000","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.HomePageSearchTest","org.eugens21.hostaway.technical_assignment.test.filter.HomePageSearchTest","verifySearchOnHomePage","verifySearchOnHomePage","As a user, I want to be able to search for properties using criteria that I provide from the home page.This will allow me to easily find the properties that meet my needs without having to navigate to a separate search page."
"passed","Tue Apr 18 15:51:00 GMT 2023","Tue Apr 18 15:51:02 GMT 2023","1568","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 15:50:47 GMT 2023","Tue Apr 18 15:50:48 GMT 2023","1190","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 15:50:48 GMT 2023","Tue Apr 18 15:50:49 GMT 2023","733","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 15:50:56 GMT 2023","Tue Apr 18 15:50:59 GMT 2023","2871","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesNegativeScenario","verifyToggleValuesNegativeScenario","The system should not allow a user to enter values outside of a preset range."
"passed","Tue Apr 18 15:51:05 GMT 2023","Tue Apr 18 15:51:06 GMT 2023","1193","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyToggleValuesPositiveScenario","verifyToggleValuesPositiveScenario","As a user, I want to be able to use the toolbar toggle filter on the search page to quickly narrow down my search results by specifying the number of bedrooms and bathrooms that I desire."
"passed","Tue Apr 18 15:50:43 GMT 2023","Tue Apr 18 15:50:45 GMT 2023","1353","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
"passed","Tue Apr 18 15:50:45 GMT 2023","Tue Apr 18 15:50:46 GMT 2023","1323","Surefire suite","Surefire test","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","org.eugens21.hostaway.technical_assignment.test.filter.SearchPageFilterTest","verifyPriceValues","verifyPriceValues","As a user, I want to be able to use the toolbar price filter on the search page to quickly narrow down my search results. This will allow me to find the properties that fit my budget.The system should allow a user to enter only valid values as the price, as this would result in irrelevant search results."
